0 0 2.34256	0 0 1.17478
0.0454102 88.7187 91.1638	0 9282.13 597.019
0.0456543 94.8054 88.5055	0 12406.5 554.381
0.0458984 85.7681 85.7877	0 8539.43 514.148
0.0461426 78.2753 83.0493	0 8201.55 475.48
0.0463867 78.7412 80.3182	0 6827.95 437.972
0.0466309 74.8491 77.6127	0 3316.66 401.856
0.046875 76.0676 74.9444	0 4896.94 367.815
0.0471191 74.3718 72.3217	0 5723.76 336.584
0.0473633 70.9654 69.752	0 5171.82 308.592
0.0476074 69.3381 67.2444	0 4673.44 283.813
0.0478516 59.8988 64.8093	0 3484.93 261.83
0.0480957 66.2342 62.4574	0 2817.5 242.05
0.0483398 57.0721 60.1983	0 3148.99 223.955
0.048584 48.8359 58.0378	0 1742.58 207.279
0.0488281 48.7225 55.9773	0 2117 192.05
0.0490723 54.8096 54.013	0 2805.26 178.485
0.0493164 57.0233 52.1378	0 2708.55 166.79
0.0495605 53.9412 50.3426	0 2854.31 156.965
0.0498047 52.5314 48.619	0 2028.51 148.729
0.0500488 36.3665 46.9605	0 1488.05 141.6
0.050293 47.6869 45.3638	0 2349.15 135.106
0.0505371 42.714 43.8278	0 2201.55 128.975
0.0507812 43.5249 42.3529	0 1578.18 123.217
0.0510254 35.5242 40.9398	0 1157.54 118.025
0.0512695 41.0754 39.5879	0 1975.19 113.574
0.0515137 34.5781 38.2955	0 1143.35 109.822
0.0517578 34.1457 37.0596	0 1070.83 106.46
0.052002 41.8806 35.877	0 1786.27 103.02
0.0522461 35.5309 34.7445	0 1589.29 99.0879
0.0524902 33.6149 33.6602	0 1457.75 94.4897
0.0527344 30.3086 32.6225	0 985.637 89.3468
0.0529785 29.962 31.6302	0 913.648 83.9767
0.0532227 29.5136 30.6818	0 722.333 78.7079
0.0534668 24.1848 29.7745	0 549.564 73.7185
0.0537109 31.1064 28.9042	0 1420.04 68.983
0.0539551 28.3612 28.0662	0 815.668 64.3456
0.0541992 30.8449 27.2555	0 757.998 59.6631
0.0544434 26.7808 26.4679	0 730.394 54.9322
0.0546875 25.5666 25.7005	0 595.476 50.3285
0.0549316 23.2886 24.9521	0 399.203 46.1385
0.0551758 21.6971 24.2226	0 603.196 42.6249
0.0554199 23.2388 23.5129	0 521.575 39.8973
0.0556641 23.7129 22.8238	0 667.071 37.8544
0.0559082 21.4784 22.1561	0 402.576 36.2239
0.0561523 21.6601 21.5101	0 470.242 34.6746
0.0563965 20.2545 20.8861	0 656.615 32.9455
0.0566406 21.4634 20.2846	0 445.157 30.9339
0.0568848 20.4022 19.7068	0 406.057 28.7108
0.0571289 16.0717 19.1545	0 269.941 26.4674
0.057373 17.889 18.6307	0 351.414 24.428
0.0576172 20.9357 18.1388	0 344.667 22.7675
0.0578613 15.0543 17.6822	0 195.945 21.566
0.0581055 17.2495 17.2642	0 231.469 20.8051
0.0583496 15.9491 16.8869	0 234.014 20.3957
0.0585938 16.49 16.5509	0 242.182 20.2163
0.0588379 13.9303 16.2553	0 213.48 20.1453
0.059082 14.1382 15.9972	0 204.476 20.0823
0.0593262 18.7728 15.772	0 292.426 19.9592
0.0595703 13.8551 15.5736	0 155.374 19.7447
0.0598145 15.7602 15.3949	0 302.792 19.4431
0.0600586 16.8333 15.2281	0 302.077 19.0843
0.0603027 12.5374 15.0653	0 138.9 18.7071
0.0605469 13.0932 14.8996	0 161.273 18.3393
0.060791 16.9048 14.725	0 225.862 17.9828
0.0610352 16.6842 14.5376	0 236.81 17.6119
0.0612793 16.2614 14.3359	0 240.778 17.1851
0.0615234 11.8974 14.1206	0 117.253 16.6659
0.0617676 14.4151 13.8953	0 224.543 16.0437
0.0620117 14.1427 13.6649	0 163.181 15.3452
0.0622559 13.5244 13.4355	0 240.541 14.6333
0.0625 12.9106 13.213	0 105.462 13.9917
0.0627441 11.5019 13.0024	0 112.156 13.4999
0.0629883 12.237 12.807	0 137.487 13.2063
0.0632324 11.2684 12.6281	0 108.186 13.1096
0.0634766 12.6679 12.4655	0 170.566 13.1572
0.0637207 12.9456 12.318	0 194.251 13.2609
0.0639648 11.4978 12.1842	0 134.435 13.3256
0.064209 14.6125 12.0631	0 199.172 13.2768
0.0644531 12.2465 11.9546	0 187.335 13.0796
0.0646973 9.47621 11.8595	0 83.5377 12.7422
0.0649414 12.0421 11.7787	0 198.291 12.3073
0.0651855 12.473 11.7126	0 148.409 11.8361
0.0654297 9.63566 11.6605	0 104.78 11.3899
0.0656738 9.75967 11.6196	0 79.7856 11.014
0.065918 11.1491 11.5858	0 139.75 10.7275
0.0661621 13.4368 11.5533	0 265.429 10.5194
0.0664062 11.6128 11.5162	0 143.367 10.3535
0.0666504 13.0412 11.4697	0 189.634 10.18
0.0668945 11.2581 11.4105	0 154.367 9.95241
0.0671387 13.7786 11.3381	0 144.332 9.64314
0.0673828 10.0148 11.2543	0 94.7698 9.25512
0.067627 11.1472 11.1633	0 87.9648 8.82284
0.0678711 10.6758 11.0702	0 118.391 8.40233
0.0681152 11.097 10.9802	0 126.652 8.05255
0.0683594 8.17699 10.898	0 54.719 7.81519
0.0686035 11.7344 10.8267	0 121.669 7.70066
0.0688477 10.5891 10.7678	0 96.6064 7.68606
0.0690918 10.5385 10.7215	0 95.2853 7.72595
0.0693359 10.6326 10.687	0 123.674 7.77225
0.0695801 12.6157 10.6631	0 131.581 7.79613
0.0698242 10.2928 10.6483	0 126.192 7.80346
0.0700684 8.34657 10.6415	0 75.4684 7.83709
